Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
10-01-2025,16:47:23,BK878578,Success,C52608,Auto,Howrah,Kasba,null,null,null,null,null,null,802,null,0,null,null
14-01-2025,11:46:16,BK677416,Success,C10153,Prime SUV,BBD Bagh,Salt Lake,189,65,null,null,No,null,1095,Cash,38,4.8,4.7
16-01-2025,06:05:18,BK808968,Success,C23450,Auto,College Street,Baguiati,null,null,Driver is not moving towards pickup location,null,null,null,120,null,0,null,null
17-01-2025,07:44:28,BK370595,Success,C57095,Bike,Sinthi,Sonarpur,49,85,null,null,No,null,241,Cash,33,3.2,3.5
05-01-2025,16:55:35,BK100073,Failed,C54473,Prime Sedan,Sonarpur,Entally,77,140,null,null,No,null,475,Cash,45,4.3,3.1
28-01-2025,21:10:21,BK333688,Success,C68565,Prime Sedan,Alipore,Shyambazar,210,45,null,null,No,null,461,UPI,49,4.5,3.1
28-01-2025,11:40:23,BK226377,Failed,C57425,Bike,Patuli,Sonarpur,null,null,null,Customer related issue,null,null,783,null,0,null,null
22-01-2025,22:21:50,BK583825,Failed,C41455,Mini,Metiabruz,Sealdah,null,null,null,Customer was coughing/sick,null,null,995,null,0,null,null
06-01-2025,20:30:06,BK389779,Success,C48790,Prime Sedan,Kankurgachi,Lake Town,287,40,null,null,Yes,Customer Demand,1102,UPI,41,3.1,3.5
22-01-2025,17:34:04,BK940980,Success,C57862,eBike,Kalighat,Jora Bridge,null,null,null,Customer related issue,null,null,170,null,0,null,null
05-01-2025,05:35:04,BK877368,Failed,C76541,Prime Sedan,Ultadanga,Patuli,210,105,null,null,No,null,444,UPI,6,3.8,4.9
27-01-2025,07:03:55,BK624965,Success,C70591,Mini,Kalighat,Bhawanipore,null,null,null,Customer related issue,null,null,1130,null,0,null,null
13-01-2025,11:25:17,BK494940,Failed,C22693,Mini,Maniktala,Naktala,294,145,null,null,No,null,876,Cash,21,4.7,3.3
06-01-2025,22:06:07,BK799744,Success,C49248,Prime SUV,Lake Town,Kasba,42,90,null,null,No,null,680,UPI,24,4.7,3.8
10-01-2025,23:08:00,BK572344,Success,C26082,Bike,Sinthi,Chowringhee,266,65,null,null,No,null,425,Cash,11,3.5,4.6
06-01-2025,01:33:41,BK614839,Failed,C93075,Prime Sedan,Rashbehari,Kidderpore,56,140,null,null,No,null,989,Cash,4,4.5,4.2
14-01-2025,19:15:25,BK872682,Success,C28904,Bike,Hazra,Maniktala,null,null,null,null,null,null,594,null,0,null,null
02-01-2025,23:57:18,BK864677,Success,C64919,Mini,Salt Lake,Garia,294,95,null,null,No,null,443,Cash,5,3.4,3.1
09-01-2025,13:28:39,BK777229,Failed,C82292,Prime Sedan,Sonarpur,Entally,35,95,null,null,No,null,721,Cash,19,3.8,4.7
26-01-2025,13:25:17,BK873217,Success,C97558,Prime Plus,Howrah,New Town,217,120,null,null,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6
21-01-2025,07:22:45,BK442174,Success,C42065,Auto,Garia,BBD Bagh,77,35,null,null,No,null,747,Cash,25,5,3.5
06-01-2025,20:47:15,BK603569,Failed,C27793,Prime Sedan,Kalighat,College Street,308,110,null,null,No,null,799,UPI,25,3.9,4.7
24-01-2025,09:45:39,BK358331,Failed,C58700,Auto,BBD Bagh,Belgachia,63,135,null,null,No,null,300,Cash,14,3.3,4.6
17-01-2025,15:22:48,BK332287,Success,C60457,Prime SUV,Maniktala,Howrah,null,null,null,null,null,null,162,null,0,null,null
27-01-2025,08:08:02,BK179573,Success,C97774,Auto,Barasat,BBD Bagh,308,70,null,null,No,null,618,UPI,30,3.5,3.7
13-01-2025,07:25:08,BK209011,Failed,C63864,Auto,Rajarhat,Ballygunge,91,120,null,null,No,null,251,UPI,9,5,4.4
23-01-2025,21:08:11,BK791176,Success,C49420,Prime SUV,Tollygunge,Baguiati,null,null,null,More than permitted people in there,null,null,543,null,0,null,null
09-01-2025,20:10:26,BK590962,Success,C89126,eBike,Salt Lake,Shyambazar,35,115,null,null,No,null,724,Cash,11,4.5,4.8
04-01-2025,13:51:10,BK303401,Success,C23478,eBike,Dunlop,Sealdah,196,80,null,null,No,null,316,UPI,27,3.1,4.7
12-01-2025,19:23:07,BK888385,Success,C30998,Bike,Gariahat,Patuli,224,60,null,null,No,null,138,UPI,24,5,3
03-01-2025,08:59:27,BK255309,Success,C33746,Bike,Sarat Bose Road,Rashbehari,280,55,null,null,No,null,467,Cash,24,4.5,4.2
17-01-2025,10:13:49,BK969155,Failed,C90166,Prime Sedan,Sarat Bose Road,Shalimar,null,null,null,null,null,null,565,null,0,null,null
25-01-2025,19:48:07,BK377430,Success,C18080,Auto,Kalighat,Ultadanga,null,null,null,More than permitted people in there,null,null,276,null,0,null,null
12-01-2025,21:04:50,BK314698,Success,C52357,Mini,Dunlop,Park Street,63,65,null,null,No,null,296,UPI,5,4,4.3
05-01-2025,05:56:24,BK682147,Success,C86794,Mini,Esplanade,Kalighat,null,null,null,null,null,null,1310,null,0,null,null
31-01-2025,10:30:59,BK581858,Success,C46074,Auto,Alipore,Burrabazar,null,null,AC is Not working,null,null,null,771,null,0,null,null
24-01-2025,22:05:50,BK579589,Success,C66155,Auto,Behala,Alipore,42,25,null,null,No,null,279,Cash,43,4.3,3.4
09-01-2025,02:57:50,BK833553,Failed,C44399,Prime Plus,Howrah,Alipore,308,145,null,null,No,null,321,Cash,39,3.3,4.7
05-01-2025,03:23:01,BK587664,Failed,C42446,Prime Plus,Shyambazar,Patuli,189,35,null,null,No,null,457,Cash,1,4.1,3.4
24-01-2025,08:12:00,BK356413,Failed,C96817,eBike,Lake Gardens,Bowbazar,217,45,null,null,No,null,139,Cash,45,4.9,3.8
31-01-2025,11:55:36,BK300162,Success,C28111,Prime Plus,Alipore,Dharmatala,168,140,null,null,Yes,Customer Demand,685,UPI,7,4.1,4.9
22-01-2025,18:41:10,BK212089,Failed,C25889,Mini,Naktala,Jora Bridge,null,null,null,More than permitted people in there,null,null,150,null,0,null,null
09-01-2025,12:59:15,BK679952,Failed,C91142,Bike,Sealdah,Sarat Bose Road,133,90,null,null,No,null,196,UPI,21,4.3,3.4
25-01-2025,00:46:15,BK912433,Success,C25305,Prime SUV,Shyambazar,Behala,null,null,null,Personal & Car related issue,null,null,424,null,0,null,null
23-01-2025,15:43:43,BK273906,Success,C66448,Prime Sedan,Burrabazar,Lake Town,null,null,null,More than permitted people in there,null,null,827,null,0,null,null
08-01-2025,07:04:25,BK686241,Success,C26241,Auto,Dumdum,College Street,301,115,null,null,No,null,770,Cash,27,3.3,4.3
04-01-2025,01:43:59,BK481869,Success,C96564,Bike,Bowbazar,Baguiati,null,null,null,null,null,null,325,null,0,null,null
31-01-2025,04:02:00,BK242262,Success,C36119,Prime Sedan,Sonarpur,Rajarhat,161,25,null,null,No,null,986,Cash,18,4.6,4.8
29-01-2025,13:54:25,BK578024,Failed,C53781,Prime Plus,Entally,Sonarpur,266,115,null,null,No,null,2208,Cash,40,4,4.5
30-01-2025,12:37:11,BK442929,Success,C16090,Prime SUV,Burrabazar,Ballygunge,168,30,null,null,No,null,1695,UPI,20,4.5,4.7
22-01-2025,14:04:26,BK144394,Failed,C80644,eBike,Rashbehari,Sinthi,null,null,null,Customer related issue,null,null,305,null,0,null,null
05-01-2025,07:08:19,BK377576,Success,C47749,Mini,Ballygunge,Chowringhee,63,105,null,null,No,null,2271,Cash,37,3.4,4.2
09-01-2025,09:13:33,BK680792,Success,C83385,Prime SUV,Park Street,Bowbazar,154,135,null,null,No,null,240,UPI,4,4,4.9
24-01-2025,17:32:16,BK431597,Failed,C71183,Prime SUV,Belgachia,College Street,287,95,null,null,No,null,482,Cash,37,4.4,3.9
20-01-2025,04:34:45,BK620080,Success,C78704,Prime Sedan,Rajarhat,Howrah,252,45,null,null,No,null,536,UPI,17,3.9,4.4
24-01-2025,14:20:15,BK167070,Success,C29288,Prime Plus,Alipore,Jora Bridge,287,100,null,null,No,null,188,UPI,37,4.9,4.1
01-01-2025,20:18:00,BK393551,Success,C97100,Mini,Chowringhee,Barasat,null,null,null,Customer related issue,null,null,202,null,0,null,null
10-01-2025,11:20:43,BK262713,Success,C32764,Bike,College Street,Shalimar,null,null,null,Customer related issue,null,null,1609,null,0,null,null
08-01-2025,20:03:50,BK419453,Failed,C35281,Prime Plus,Burrabazar,Patuli,null,null,null,Personal & Car related issue,null,null,1821,null,0,null,null
23-01-2025,16:06:48,BK725257,Success,C39968,Prime Plus,Salt Lake,Ballygunge,42,40,null,null,No,null,415,UPI,22,3.6,3.1
06-01-2025,00:00:29,BK884481,Success,C88535,eBike,Barasat,Ballygunge,308,145,null,null,No,null,2125,UPI,6,3.8,4.6
23-01-2025,19:31:21,BK631361,Failed,C95111,Prime Sedan,Lake Gardens,Gariahat,null,null,null,Customer related issue,null,null,758,null,0,null,null
08-01-2025,16:35:05,BK445733,Success,C72857,Prime Plus,Sonarpur,Sarat Bose Road,null,null,null,null,null,null,653,null,0,null,null
14-01-2025,03:46:17,BK308159,Success,C91636,Prime Plus,Howrah,Moulali,168,135,null,null,Yes,Other Issue,704,Cash,42,4.7,4.8
06-01-2025,10:58:55,BK134329,Failed,C65717,Prime Sedan,Dumdum,Tollygunge,84,105,null,null,No,null,385,Cash,19,4.1,3.7
28-01-2025,20:07:23,BK707013,Failed,C62855,Prime Sedan,Barasat,BBD Bagh,35,45,null,null,No,null,934,UPI,12,3.3,5
25-01-2025,01:22:39,BK325562,Success,C64656,Prime SUV,Hazra,Metiabruz,null,null,null,Customer related issue,null,null,615,null,0,null,null
22-01-2025,22:39:15,BK144241,Failed,C16744,Prime SUV,Belgachia,Madhyamgram,56,30,null,null,No,null,2202,Cash,44,4.7,3.4
10-01-2025,04:23:13,BK953562,Success,C61164,Auto,Maniktala,Ballygunge,252,145,null,null,No,null,205,Cash,43,4.1,3.1
16-01-2025,18:40:55,BK589804,Success,C51461,Auto,Sealdah,Belgachia,null,null,Driver asked to cancel,null,null,null,513,null,0,null,null
19-01-2025,19:54:32,BK907777,Success,C41597,Auto,Naktala,Patuli,182,50,null,null,No,null,247,Cash,8,3.1,3.3
25-01-2025,16:01:14,BK644086,Failed,C79766,Prime Sedan,Barasat,Howrah,259,75,null,null,Yes,Other Issue,558,UPI,41,3.2,3.2
15-01-2025,07:55:13,BK743049,Failed,C71666,Prime Sedan,Behala,Dumdum,217,55,null,null,No,null,291,UPI,5,3.8,3.3
13-01-2025,12:35:14,BK690073,Failed,C59601,Prime Sedan,Golf Green,Chowringhee,56,110,null,null,No,null,925,Cash,22,3,4
31-01-2025,01:37:03,BK469722,Failed,C41849,Bike,Dumdum,Kasba,280,30,null,null,No,null,121,Cash,44,3.8,4.5
02-01-2025,14:48:25,BK729030,Success,C95087,Mini,Salt Lake,Hazra,null,null,null,null,null,null,404,null,0,null,null
09-01-2025,06:14:30,BK992922,Failed,C87523,eBike,Dumdum,Golf Green,null,null,Change of plans,null,null,null,223,null,0,null,null
12-01-2025,17:56:19,BK532711,Failed,C29076,Mini,New Town,Sonarpur,null,null,null,null,null,null,2989,null,0,null,null
04-01-2025,18:47:40,BK802545,Failed,C55392,Auto,Entally,Gariahat,63,130,null,null,No,null,728,Cash,14,4.3,5
23-01-2025,17:19:06,BK629607,Success,C34537,Prime SUV,Ballygunge,Salt Lake,210,85,null,null,No,null,2416,UPI,49,3.1,3.8
24-01-2025,16:38:42,BK495712,Success,C46946,Bike,Garia,College Street,null,null,Driver is not moving towards pickup location,null,null,null,371,null,0,null,null
10-01-2025,14:17:07,BK502058,Failed,C30940,Prime Sedan,Belgachia,Burrabazar,203,25,null,null,No,null,258,Cash,32,4.7,4.1
29-01-2025,01:25:14,BK858024,Success,C75826,Prime SUV,Metiabruz,Dharmatala,null,null,null,null,null,null,170,null,0,null,null
22-01-2025,02:25:34,BK532610,Success,C32399,Mini,College Street,Alipore,null,null,Driver asked to cancel,null,null,null,151,null,0,null,null
26-01-2025,00:22:08,BK751807,Success,C23905,Bike,Ballygunge,Dunlop,null,null,null,Customer related issue,null,null,425,null,0,null,null
04-01-2025,15:33:55,BK718232,Failed,C61871,Prime Plus,Baguiati,Lake Town,91,25,null,null,No,null,220,UPI,2,3.4,3.1
27-01-2025,18:37:29,BK970616,Failed,C29017,eBike,Sinthi,College Street,301,145,null,null,No,null,472,UPI,16,3.3,4.5
06-01-2025,04:49:51,BK359499,Failed,C45217,Prime SUV,Golf Green,Metiabruz,null,null,null,Customer related issue,null,null,616,null,0,null,null
07-01-2025,12:04:36,BK228583,Success,C12947,Mini,Jadavpur,Baguiati,42,130,null,null,No,null,473,Cash,49,4,4.2
23-01-2025,00:42:05,BK440116,Failed,C98403,eBike,Garden Reach,Ballygunge,126,115,null,null,No,null,259,Cash,11,4.8,4.5
15-01-2025,00:00:28,BK364696,Success,C26530,Prime Sedan,Tollygunge,Park Street,77,35,null,null,No,null,310,Credit Card,2,3.3,3.1
05-01-2025,14:34:17,BK397415,Success,C52294,Mini,Golf Green,Chowringhee,null,null,null,Personal & Car related issue,null,null,200,null,0,null,null
01-01-2025,10:04:30,BK467162,Success,C54498,Prime Plus,Garden Reach,Jora Bridge,189,85,null,null,No,null,471,UPI,39,3.5,3.7
24-01-2025,19:38:57,BK613172,Success,C32127,Mini,Shyambazar,Hazra,287,125,null,null,No,null,442,UPI,37,4.1,4.5
14-01-2025,12:01:21,BK259472,Success,C31327,Prime Sedan,Garden Reach,Tollygunge,175,65,null,null,No,null,228,Cash,10,3.7,4.3
06-01-2025,18:36:40,BK156945,Failed,C74286,Bike,New Town,Behala,null,null,null,Customer was coughing/sick,null,null,232,null,0,null,null
08-01-2025,14:05:12,BK409224,Failed,C38063,eBike,Lake Town,Alipore,null,null,null,null,null,null,344,null,0,null,null
07-01-2025,02:50:22,BK577353,Success,C53007,Prime Plus,Alipore,College Street,266,65,null,null,No,null,2604,UPI,10,3.8,4.1
26-01-2025,15:55:31,BK594077,Success,C80016,Mini,Kankurgachi,Howrah,210,120,null,null,No,null,274,Cash,37,3.1,3.6
25-01-2025,16:43:04,BK913544,Success,C73352,Prime SUV,College Street,Burrabazar,null,null,Driver is not moving towards pickup location,null,null,null,895,null,0,null,null
02-01-2025,19:09:22,BK395657,Success,C75114,Bike,Jora Bridge,Gariahat,91,60,null,null,No,null,279,Cash,34,4.5,3.2
21-01-2025,13:47:01,BK843096,Success,C10095,Bike,Sinthi,Kidderpore,294,45,null,null,No,null,1946,Cash,16,3,3.5
26-01-2025,09:52:19,BK708451,Failed,C69307,Prime SUV,Madhyamgram,Barasat,231,65,null,null,No,null,1024,UPI,4,4.8,4.1
13-01-2025,19:46:25,BK245084,Success,C98516,Auto,Hazra,Dunlop,null,null,Driver asked to cancel,null,null,null,294,null,0,null,null
02-01-2025,18:06:49,BK945261,Success,C84839,Prime Sedan,Tollygunge,Rajarhat,266,55,null,null,No,null,252,UPI,8,4,4.8
15-01-2025,14:27:52,BK761976,Success,C10211,eBike,Garia,Belgachia,84,145,null,null,No,null,2542,UPI,2,3.5,4.1
21-01-2025,21:45:26,BK735918,Failed,C11128,Prime Plus,Park Street,Salt Lake,266,75,null,null,No,null,1821,Cash,34,4.4,4.7
14-01-2025,12:30:45,BK518338,Failed,C67481,Prime Sedan,Chowringhee,Bowbazar,105,145,null,null,No,null,200,Cash,31,4.9,4
30-01-2025,03:40:21,BK495277,Success,C11245,Prime Plus,Burrabazar,Maniktala,null,null,null,Customer was coughing/sick,null,null,152,null,0,null,null
31-01-2025,16:55:35,BK780786,Failed,C70906,Bike,Salt Lake,Garden Reach,133,145,null,null,No,null,2388,Cash,4,4.4,3.6
11-01-2025,06:47:30,BK165638,Failed,C93652,Prime Sedan,Dharmatala,Garden Reach,77,100,null,null,No,null,783,Cash,37,3.5,3.5
23-01-2025,02:55:48,BK859454,Success,C71362,Auto,Ballygunge,Dumdum,null,null,null,null,null,null,208,null,0,null,null
17-01-2025,01:08:28,BK801338,Success,C27063,Bike,Bhawanipore,Dunlop,168,50,null,null,No,null,1181,UPI,10,3.4,4.9
22-01-2025,02:26:24,BK192751,Success,C27654,Mini,Sarat Bose Road,Shalimar,null,null,Change of plans,null,null,null,843,null,0,null,null
22-01-2025,20:14:29,BK689021,Success,C21542,Bike,Salt Lake,Naktala,224,80,null,null,No,null,441,Cash,7,3,3.1
03-01-2025,11:06:43,BK544235,Success,C75321,Prime Plus,Garden Reach,Kankurgachi,238,25,null,null,No,null,332,UPI,38,3.8,3.4
17-01-2025,17:24:18,BK723172,Success,C37967,Mini,Belgachia,Jadavpur,42,65,null,null,No,null,832,Cash,11,3.4,4.1
29-01-2025,17:24:53,BK394188,Success,C30797,Prime Sedan,Behala,Entally,231,30,null,null,No,null,1361,UPI,47,4,3.9
03-01-2025,13:34:04,BK217176,Success,C53532,Prime Sedan,Burrabazar,Shyambazar,null,null,null,More than permitted people in there,null,null,415,null,0,null,null
25-01-2025,10:10:34,BK264124,Success,C96414,Prime Plus,Entally,Patuli,42,55,null,null,No,null,747,Cash,28,3.8,3
11-01-2025,12:35:19,BK579328,Success,C91374,Mini,Shalimar,Jadavpur,245,55,null,null,No,null,129,Cash,5,4.4,4.2
06-01-2025,19:23:17,BK987991,Success,C60586,Prime Sedan,Kidderpore,Sinthi,98,100,null,null,No,null,296,UPI,34,3.3,4.2
07-01-2025,21:07:55,BK153270,Success,C45764,Mini,BBD Bagh,Jadavpur,231,105,null,null,No,null,337,UPI,18,4.5,4.2
05-01-2025,02:06:30,BK972913,Failed,C73555,Mini,Jora Bridge,College Street,308,140,null,null,No,null,896,UPI,45,4,4.1
25-01-2025,23:37:03,BK257953,Failed,C67705,Prime Sedan,College Street,Rashbehari,189,60,null,null,No,null,151,Credit Card,11,4,4.8
16-01-2025,23:49:47,BK568105,Success,C41089,Auto,Kalighat,Sinthi,189,35,null,null,No,null,940,Debit Card,7,3.2,3.5
04-01-2025,15:47:14,BK540553,Success,C24477,Prime Sedan,Kidderpore,Behala,98,140,null,null,No,null,729,Credit Card,13,4.5,5
17-01-2025,10:21:45,BK550825,Failed,C12158,Bike,Lake Town,New Town,189,45,null,null,No,null,128,Cash,1,4.6,4.8
20-01-2025,19:15:59,BK878319,Success,C98609,Auto,Entally,Rajarhat,77,75,null,null,No,null,274,Cash,42,4,3.4
08-01-2025,11:13:31,BK273409,Failed,C31679,Prime Sedan,Behala,Maniktala,105,25,null,null,Yes,Customer Demand,352,Cash,8,5,3.8
03-01-2025,14:51:22,BK190885,Success,C68006,Prime Sedan,Sinthi,Jadavpur,189,55,null,null,No,null,238,UPI,6,4.5,3
12-01-2025,07:44:26,BK670375,Success,C42225,Mini,Dumdum,Kalighat,280,30,null,null,No,null,477,Cash,19,4.1,4.3
02-01-2025,07:01:22,BK373826,Success,C83072,Prime Sedan,Gariahat,Hazra,196,145,null,null,No,null,186,UPI,15,4.7,4.6
22-01-2025,02:36:56,BK443740,Failed,C99416,eBike,Kalighat,Dharmatala,null,null,null,null,null,null,117,null,0,null,null
21-01-2025,12:21:38,BK131187,Failed,C18878,Mini,Shyambazar,Burrabazar,168,90,null,null,No,null,193,UPI,13,3.8,3.2
10-01-2025,04:53:39,BK733019,Failed,C92155,Bike,Kidderpore,Gariahat,98,60,null,null,No,null,395,UPI,41,4.3,4.8
25-01-2025,13:33:41,BK857344,Success,C69564,Mini,Bowbazar,Sarat Bose Road,147,75,null,null,No,null,857,Cash,45,4.7,4
27-01-2025,04:06:42,BK370393,Success,C74859,Auto,Dharmatala,Kalighat,null,null,null,Customer related issue,null,null,819,null,0,null,null
18-01-2025,14:36:16,BK182570,Failed,C60723,eBike,Sinthi,Lake Town,35,45,null,null,No,null,484,UPI,16,4.1,4.5
03-01-2025,00:00:43,BK605102,Failed,C43865,Bike,Jora Bridge,Salt Lake,84,70,null,null,No,null,648,Cash,3,4.9,4.8
17-01-2025,23:15:58,BK953118,Failed,C97533,Prime SUV,Burrabazar,Howrah,196,130,null,null,No,null,153,Cash,20,4.1,3.9
14-01-2025,14:17:26,BK169407,Failed,C93963,Auto,Sonarpur,Sealdah,70,140,null,null,No,null,232,Credit Card,28,4.3,4.7
01-01-2025,19:46:52,BK827212,Success,C40821,Auto,Hazra,Kasba,null,null,null,More than permitted people in there,null,null,478,null,0,null,null
12-01-2025,15:13:35,BK233978,Failed,C79686,eBike,Barasat,Garia,null,null,null,Customer was coughing/sick,null,null,850,null,0,null,null
21-01-2025,06:05:33,BK640300,Success,C27265,Mini,Entally,Hazra,294,75,null,null,No,null,673,Cash,25,4.1,3.6
19-01-2025,05:28:10,BK905073,Success,C19303,Bike,Alipore,Patuli,null,null,null,null,null,null,315,null,0,null,null
12-01-2025,21:57:53,BK423640,Success,C55378,Prime SUV,Kankurgachi,Kalighat,63,125,null,null,No,null,1033,Cash,2,4.1,3.6
13-01-2025,06:59:57,BK159813,Failed,C40821,Prime Plus,Gariahat,Garia,null,null,Driver is not moving towards pickup location,null,null,null,825,null,0,null,null
21-01-2025,08:26:13,BK849693,Success,C83382,Auto,Howrah,Rajarhat,null,null,Wrong Address,null,null,null,213,null,0,null,null
15-01-2025,08:59:41,BK402035,Success,C49124,Auto,Lake Gardens,Ultadanga,null,null,null,null,null,null,125,null,0,null,null
26-01-2025,00:01:38,BK596958,Success,C42887,Prime Plus,Salt Lake,Golf Green,280,80,null,null,No,null,362,Cash,36,4.1,4.6
25-01-2025,05:50:34,BK903964,Success,C78384,Prime SUV,Lake Town,New Town,224,50,null,null,No,null,471,Credit Card,22,3.5,3.3
11-01-2025,17:07:44,BK705858,Failed,C21942,Auto,Sinthi,Sealdah,252,125,null,null,No,null,163,UPI,23,4.3,4.3
01-01-2025,04:50:06,BK536977,Success,C89894,Mini,New Town,Chowringhee,56,140,null,null,No,null,142,Cash,6,3.8,3.6
07-01-2025,15:04:50,BK827919,Success,C54166,Prime Plus,Bowbazar,Salt Lake,null,null,AC is Not working,null,null,null,451,null,0,null,null
26-01-2025,20:34:36,BK676079,Failed,C54204,Auto,Moulali,Barasat,null,null,Driver is not moving towards pickup location,null,null,null,358,null,0,null,null
07-01-2025,17:25:39,BK972264,Success,C18782,Prime Sedan,BBD Bagh,Kalighat,308,60,null,null,No,null,365,Cash,36,4.9,4
22-01-2025,19:31:07,BK514450,Failed,C54095,Bike,Shyambazar,College Street,null,null,null,Personal & Car related issue,null,null,752,null,0,null,null
16-01-2025,01:03:16,BK741737,Success,C54456,Mini,Dharmatala,Jadavpur,null,null,null,Customer was coughing/sick,null,null,531,null,0,null,null
22-01-2025,12:49:40,BK821437,Success,C77772,Mini,Tollygunge,Jora Bridge,null,null,null,Customer was coughing/sick,null,null,111,null,0,null,null
25-01-2025,02:15:47,BK726294,Failed,C66789,Auto,Golf Green,Ballygunge,168,135,null,null,No,null,216,UPI,5,4.4,4.3
06-01-2025,07:57:26,BK769160,Failed,C71215,Prime SUV,New Town,Kalighat,196,125,null,null,No,null,147,UPI,39,3.3,3.2
